"","C","gene"
"SLC1A1","3","SLC1A1"
"COL6A6","3","COL6A6"
"MAML3","2","MAML3"
"ADCY5","2","ADCY5"
"MUC20","4","MUC20"
"MAMDC2","2","MAMDC2"
"PRSS3","3","PRSS3"
"EGR2","4","EGR2"
"ENSG00000278727","2","ENSG00000278727"
"CXCL2","3","CXCL2"
"ITPKB","2","ITPKB"
"DAPK1","4","DAPK1"
"CXCL3","3","CXCL3"
"MRAP2","2","MRAP2"
"ODAD2","4","ODAD2"
"ESX1","3","ESX1"
"MERTK","2","MERTK"
"MYOZ3","1","MYOZ3"
"ENSG00000280202","3","ENSG00000280202"
"IGFN1","4","IGFN1"
"RAP1GAP","4","RAP1GAP"
"VAMP5","2","VAMP5"
"ENSG00000203286","4","ENSG00000203286"
"ENSG00000259676","1","ENSG00000259676"
"S100P","4","S100P"
"RPL11P3","4","RPL11P3"
"KISS1","4","KISS1"
"HSD17B2","1","HSD17B2"
"LAMA2","2","LAMA2"
"RNF128","3","RNF128"
"NAALAD2","1","NAALAD2"
"NGF-AS1","2","NGF-AS1"
"ANOS1","2","ANOS1"
"KLF15","4","KLF15"
"ENSG00000280239","4","ENSG00000280239"
"CSGALNACT1","3","CSGALNACT1"
"PLAAT1","2","PLAAT1"
"CCN3","3","CCN3"
"CACNA1H","4","CACNA1H"
"SCUBE2","1","SCUBE2"
"SNCAIP","1","SNCAIP"
"ENSG00000260077","1","ENSG00000260077"
"ENSG00000271590","4","ENSG00000271590"
"SLC6A15","4","SLC6A15"
"TMEM108","2","TMEM108"
"GPX7","1","GPX7"
"AMY2B","1","AMY2B"
"PLPP7","1","PLPP7"
"JAM3","2","JAM3"
"ENSG00000248787","4","ENSG00000248787"
"FAM106A","2","FAM106A"
"GALNT3","3","GALNT3"
"CYP1B1-AS1","4","CYP1B1-AS1"
